Tempo (s),Posizione Desiderata,Posizione Attuale,Velocità Attuale
0.026828765869140625,2503,2036,0.0
0.03883004188537598,2503,2036,0.0
0.05077719688415527,2503,2036,0.0
0.06276154518127441,2503,2036,0.0
0.07484102249145508,2503,2036,0.0
0.0950617790222168,2503,2036,0.0
0.10680079460144043,2503,2036,0.0
0.11878561973571777,2503,2036,0.0
0.13080906867980957,2503,2036,0.0
0.14275217056274414,2503,2036,0.0
0.15474319458007812,2503,2036,0.0
0.166762113571167,2503,2036,0.0
0.17874956130981445,2503,2036,0.0
0.19078397750854492,2503,2036,0.0
0.20278477668762207,2503,2036,0.0
0.21476173400878906,2503,2036,0.0
0.22675585746765137,2503,2037,0.0
0.23880934715270996,2503,2037,0.229
0.2507634162902832,2503,2037,0.229
0.2657661437988281,2503,2037,0.229
0.2797887325286865,2503,2038,0.229
0.29479050636291504,2503,2039,0.458
0.306840181350708,2503,2040,0.687
0.3217661380767822,2503,2041,0.916
0.33375024795532227,2503,2042,0.916
0.34780168533325195,2503,2044,1.145
0.35979342460632324,2503,2044,1.145
0.3757810592651367,2503,2046,1.374
0.3907613754272461,2503,2047,1.374
0.40277576446533203,2503,2049,1.374
0.41475701332092285,2503,2050,1.374
0.4267563819885254,2503,2051,1.374
0.4427618980407715,2503,2053,1.374
0.4547615051269531,2503,2054,1.374
0.4740869998931885,2503,2055,1.145
0.49076175689697266,2503,2057,1.145
0.5027790069580078,2503,2058,0.916
0.5157647132873535,2503,2059,1.145
0.5297501087188721,2503,2060,1.145
0.5417666435241699,2503,2062,1.145
0.5537674427032471,2503,2063,1.145
0.5678920745849609,2503,2065,1.374
0.5807373523712158,2503,2067,1.603
0.6007535457611084,2503,2070,1.832
0.6155354976654053,2503,2071,1.832
0.6277735233306885,2503,2074,2.061
0.6497578620910645,2503,2077,2.061
0.6617622375488281,2503,2079,2.061
0.6737320423126221,2503,2081,1.832
0.6897268295288086,2503,2082,1.832
0.7027575969696045,2503,2084,1.832
0.7147610187530518,2503,2085,1.832
0.7411980628967285,2503,2088,1.603
0.7587404251098633,2503,2092,1.603
0.7715275287628174,2503,2093,1.603
0.784843921661377,2503,2094,1.374
0.811748743057251,2503,2096,1.603
0.8297348022460938,2503,2100,1.603
0.8427588939666748,2503,2102,1.832
0.8570258617401123,2503,2103,1.832
0.8743178844451904,2503,2105,1.832
0.8857288360595703,2503,2108,1.832
0.8978416919708252,2503,2109,1.603
0.9115538597106934,2503,2110,1.603
0.9350275993347168,2503,2112,1.603
0.946774959564209,2503,2115,1.603
0.9607107639312744,2503,2117,1.603
0.9727230072021484,2503,2119,1.603
0.9847221374511719,2503,2120,1.603
0.9967210292816162,2503,2122,1.832
1.0087697505950928,2503,2123,1.603
1.0207343101501465,2503,2124,1.603
1.039731740951538,2503,2126,1.832
1.0517504215240479,2503,2129,1.832
1.0654926300048828,2503,2130,1.603
1.0837194919586182,2503,2131,1.603
1.0957767963409424,2503,2134,1.832
1.1077358722686768,2503,2136,1.832
1.133225917816162,2503,2137,1.603
1.1457183361053467,2503,2141,1.603
1.1577277183532715,2503,2143,1.832
1.1777875423431396,2503,2144,1.832
1.199770450592041,2503,2148,1.832
1.2117488384246826,2503,2150,1.832
1.2267134189605713,2503,2151,1.603
1.2442131042480469,2503,2153,1.603
1.255800485610962,2503,2155,1.832
1.2708616256713867,2503,2157,1.832
1.289006233215332,2503,2159,1.832
1.3007769584655762,2503,2161,1.603
1.3127202987670898,2503,2162,1.603
1.3266596794128418,2503,2164,1.832
1.338700771331787,2503,2166,1.603
1.3517100811004639,2503,2168,1.603
1.363729476928711,2503,2170,1.832
1.377702236175537,2503,2171,1.832
1.4036903381347656,2503,2173,1.603
1.4157404899597168,2503,2176,1.603
1.4297397136688232,2503,2177,1.603
1.4516932964324951,2503,2179,1.603
1.4637556076049805,2503,2182,1.603
1.4787261486053467,2503,2183,1.603
1.4908621311187744,2503,2185,1.603
1.5047457218170166,2503,2187,1.832
1.5167224407196045,2503,2188,1.832
1.5317001342773438,2503,2190,1.832
1.5506889820098877,2503,2193,1.832
1.5627243518829346,2503,2196,1.832
1.5757241249084473,2503,2197,1.832
1.5916965007781982,2503,2199,1.832
1.6116831302642822,2503,2201,1.832
1.6236660480499268,2503,2203,1.603
1.636720895767212,2503,2205,1.603
1.6556997299194336,2503,2206,1.603
1.6686699390411377,2503,2209,1.603
1.6807584762573242,2503,2210,1.603
1.7020423412322998,2503,2212,1.832
1.726708173751831,2503,2217,1.832
1.74070143699646,2503,2220,1.832
1.7577028274536133,2503,2222,1.832
1.7697043418884277,2503,2224,1.832
1.7904317378997803,2503,2225,1.603
1.8027079105377197,2503,2227,1.603
1.8156888484954834,2503,2228,1.603
1.8278076648712158,2503,2230,1.603
1.8406825065612793,2503,2231,1.603
1.8527169227600098,2503,2232,1.374
1.8647069931030273,2503,2234,1.374
1.877458095550537,2503,2236,1.603
1.8897085189819336,2503,2238,1.603
1.9036908149719238,2503,2239,1.603
1.9156885147094727,2503,2241,1.603
1.9286887645721436,2503,2242,1.603
1.9408643245697021,2503,2245,1.832
1.9527065753936768,2503,2246,1.603
1.9647018909454346,2503,2247,1.603
1.9782452583312988,2503,2250,1.603
1.9946730136871338,2503,2251,1.832
2.0067152976989746,2503,2253,1.832
2.0186917781829834,2503,2254,1.832
2.032689094543457,2503,2256,1.832
2.0507030487060547,2503,2259,1.832
2.0627198219299316,2503,2260,1.832
2.074690103530884,2503,2261,1.832
2.0996992588043213,2503,2263,1.603
2.111698865890503,2503,2265,1.603
2.1236891746520996,2503,2267,1.603
2.1406569480895996,2503,2268,1.603
2.1577086448669434,2503,2272,1.603
2.169672727584839,2503,2274,1.603
2.192188024520874,2503,2276,1.832
2.2037129402160645,2503,2278,1.832
2.216639757156372,2503,2281,2.061
2.231659173965454,2503,2283,2.061
2.2439029216766357,2503,2285,2.061
2.255697250366211,2503,2287,2.061
2.2686126232147217,2503,2289,2.061
2.2884738445281982,2503,2290,1.832
2.3017663955688477,2503,2292,1.603
2.313831329345703,2503,2293,1.374
2.328277349472046,2503,2294,1.374
2.3396716117858887,2503,2297,1.374
2.3567066192626953,2503,2298,1.374
2.3688316345214844,2503,2300,1.374
2.38067626953125,2503,2301,1.603
2.4026942253112793,2503,2303,1.603
2.414712429046631,2503,2306,1.603
2.4266717433929443,2503,2307,1.832
2.4448606967926025,2503,2309,1.832
2.4586381912231445,2503,2312,1.832
2.470679521560669,2503,2313,1.832
2.4826579093933105,2503,2315,1.832
2.503673791885376,2503,2317,1.832
2.515712261199951,2503,2319,1.603
2.5286591053009033,2503,2321,1.603
2.5406558513641357,2503,2323,1.603
2.552690267562866,2503,2325,1.832
2.564687728881836,2503,2327,1.832
2.580692768096924,2503,2328,1.832
2.598783254623413,2503,2330,1.832
2.610649824142456,2503,2333,1.832
